gene	GSM4237826	GSM4237827	GSM4237828	GSM4237829	GSM4237830	GSM4237831	GSM4237832	GSM4237833	GSM4237834	GSM4237835	GSM4237836	GSM4237837
A2M	13.736	12.371	12.689	14.545	12.100	13.772	12.957	12.904	11.461	14.673	12.959	12.148
ACVR1C	7.117	5.254	6.160	4.363	6.889	6.329	6.260	6.131	6.352	6.792	6.086	7.360
ADAM12	8.886	8.289	9.104	7.016	7.921	8.124	8.434	6.228	7.624	8.959	8.240	8.430
ADGRE1	6.084	4.139	6.120	4.478	4.982	6.701	6.118	4.899	3.732	5.619	4.535	5.331
ADM	10.407	11.992	10.753	5.822	10.428	9.281	8.937	6.653	9.542	10.276	9.678	10.889
ADORA2A	6.439	5.763	6.605	6.886	6.255	7.286	5.833	5.758	5.364	5.396	5.372	5.567
AKT1	11.331	11.439	11.829	11.514	11.801	11.475	11.328	11.061	11.785	10.827	11.957	11.223
ALDOA	13.611	13.955	13.789	13.192	13.082	12.822	13.061	12.425	13.111	13.707	13.465	13.764
ALDOC	12.478	12.150	12.645	12.615	11.960	10.550	11.776	12.348	11.201	12.066	9.970	12.697
ANGPT1	6.807	8.046	6.634	9.239	6.526	7.781	7.178	7.523	5.713	6.527	5.252	8.887
ANGPT2	9.629	8.176	9.357	6.392	8.340	6.997	8.015	7.808	7.604	8.333	6.137	8.795
ANGPTL4	10.880	12.403	10.973	9.579	10.008	8.219	8.859	8.359	8.674	8.935	7.937	8.284
ANLN	6.242	7.894	8.433	7.450	7.506	6.149	8.865	7.697	6.280	6.326	10.249	7.582
APC	12.336	12.393	12.099	11.630	12.517	11.900	12.091	11.926	12.780	11.870	12.327	12.284
APH1B	7.212	7.704	7.842	7.286	6.441	7.308	8.062	8.436	7.404	8.426	7.320	8.669
API5	10.675	10.548	10.744	9.877	10.559	10.286	10.415	10.569	10.342	10.620	10.400	10.536
APLNR	12.789	11.721	11.248	12.882	9.026	12.489	9.714	10.017	9.514	10.065	10.202	9.572
APOE	15.022	15.566	15.583	14.768	13.566	16.839	13.972	14.104	14.845	13.181	14.643	14.171
APOL6	10.151	9.058	9.703	9.951	9.391	11.844	9.746	8.392	11.008	9.008	8.842	9.361
AQP9	7.344	7.858	6.873	5.204	6.097	7.685	4.849	4.331	5.054	6.488	5.937	5.699
AREG	5.412	3.554	2.990	3.585	4.719	5.634	3.782	2.280	5.836	5.970	2.313	5.506
ARG1	5.465	4.139	4.238	4.533	5.567	6.701	4.034	3.280	5.292	4.361	3.428	4.077
ARG2	6.847	6.683	7.099	7.457	6.097	5.564	5.882	6.214	4.869	7.893	6.372	7.042
ARID1A	9.766	10.342	10.287	9.593	10.069	9.247	10.313	10.371	9.764	10.041	9.918	10.241
ARNT2	10.861	11.205	11.000	10.972	10.925	10.381	11.155	10.757	11.327	11.547	10.092	11.956
ATF3	10.212	9.514	8.656	8.676	8.606	9.882	10.500	9.346	8.802	8.535	8.503	10.118
ATM	9.794	10.263	10.121	9.951	9.881	9.800	10.383	10.546	9.772	10.296	9.844	10.369
AXIN1	7.787	8.176	7.915	7.629	7.587	8.264	7.738	7.356	7.848	7.400	8.004	7.290
AXL	9.405	9.352	9.303	8.187	9.217	11.419	9.283	8.749	9.873	9.095	8.893	8.912
B2M	15.395	13.955	14.426	15.305	14.065	16.773	15.618	14.447	15.022	14.811	14.674	14.334
BAD	9.731	9.335	8.486	10.141	9.885	10.033	8.999	8.806	9.570	8.995	9.558	8.912
BAMBI	8.905	8.976	8.299	7.800	7.547	9.532	8.689	9.136	8.144	7.824	6.267	7.703
BATF3	8.471	6.946	8.391	7.026	7.463	7.350	8.788	7.421	8.523	8.436	7.068	6.877
BAX	10.928	10.583	10.992	10.533	11.004	11.703	10.892	10.245	10.673	9.796	11.729	10.037
